Image,Offers,Link,Date
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Masqua.png,Flat 20% off on ₹1000 & above. Maximum discount capping ₹500.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=215,22nd April 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/logo-size_Surat.png,18% Exclusive Discount for RuPay Card Customers,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=214,8th May 2024 to 8th May 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/melorra_logo.jpg,"Get Flat ₹7000 Off on Diamond Jewellery, Minimum Billing ₹90,000/-",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=213,9th May 2024 to 8th May 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/FernsnPetals.png,Get 18% off on minimum order value of ₹1200,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=212,8th April 2024 to 17th April 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/oyo.png,Upto 65% off on hotel bookings,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=211,31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/snitch-logo.png,20% OFF on minimum purchase of ₹3299,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=210,31st December 2024
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/IGP.png,Flat 20% off on a minimum purchase of ₹1199. Maximum discount capping ₹500.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=209,22nd April 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Boat_257x93.png,Flat ₹500 off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=207,22nd March 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/PepperFry.png,Flat ₹1250 Off on Purchase of ₹10000 and above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=206,15th April 2024 to 30th November 2024
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Makemytrip.png,Upto 15% cashback on Flights and Hotels,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=205,21st June 2024 to 31st December 2024
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/khadi-natural-logo.png,Flat 10% off on minimum order value of ₹799 or above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=201,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/simplilearn-logo.png,Flat 20% discount on all Master’s programs,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=200,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/stylework-in-logo.png,15% off on All Platinum Category Day Pass,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=199,16th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/stylework-in-logo.png,10% off on All Silver & Gold Category Day Pass,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=198,16th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/hush-puppies-logo.png,₹1500 off on Minimum Purchase Value of ₹6999. ₹1000 off on Minimum Purchase Value  of ₹4999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=197,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/bata-logo.png,₹750 off on Minimum Purchase Value of ₹2999. ₹500 off on Minimum Purchase Value of ₹1999.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=196,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/myntra-logo.png,₹400 off on Minimum Purchase Value of ₹1999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=195,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/bang-the-ritz-carlton-logo.png,Mixology Masterclass of ₹5000+ Taxes PP & ₹40000+ Taxes PP for Group of 10,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=194,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/izu-the-ritz-carlton-logo.png,Private Dining Room of Chef’s Table Set Menu of ₹5000+ Taxes PP. Masterclass ₹6000+ Taxes PP,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=193,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/starlit-by-the-pool-the-ritz-carlton-logo.png,Breakfast on the Waves off ₹2500+ Taxes PP. Dine under the stars off ₹25000+ Taxes PP,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=192,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/the-lantern-restaurant-bar-the-ritz-carlton-logo.png,Private Dining Room of Chef’s Table Set Menu of ₹5000+ Taxes PP. Masterclass ₹6000+ Taxes PP,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=191,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/riwaz-the-ritz-carlton-logo.png,Dineamation  Experience of ₹10000+ Taxes PP. Private Dining Room of Chef’s Table Set Menu of ₹5000+  Taxes PP. Masterclass ₹6000+ Taxes PP,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=190,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/apollo-pharmacy-logo.png,10% off on Medicines except DPCO. 15% off on Apollo Private Label Products,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=189,13th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/toni-guy-logo.png,15% off on Total Bill,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=188,9th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/hilton-hotels-logo.png,20% off on Food & Soft Beverages,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=186,9th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/bewakoof-logo.png,15% off on Minimum Purchase Value of ₹999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=185,9th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/dry-fruits-home-logo.png,Flat 15% off on all purchases above ₹1000,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=184,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/reliance-digital-logo.png,₹600 off on minimum purchase of ₹17500,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=179,1st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/reliance-digital-logo.png,₹250 off on minimum order value of ₹7000,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=178,1st August 2024 to 31st July 2025
